  UID   PID  PPID   C STIME   TTY           TIME CMD
  501  1219     1   0  6 925  ??         1:10.50 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
  501  1220     1   0  6 925  ??         0:40.71 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
  501  1221     1   0  6 925  ??         0:39.07 /System/Library/CoreServices/audioaccessoryd
  501  1222     1   0  6 925  ??         0:02.52 /usr/libexec/dmd
  501  1223     1   0  6 925  ??         0:00.15 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
    0  1224     1   0  6 925  ??         0:00.25 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
  501  1225     1   0  6 925  ??         0:05.12 /usr/libexec/neagent
  501  1226     1   0  6 925  ??         0:51.13 /usr/libexec/knowledge-agent
  501  1227     1   0  6 925  ??         0:59.34 /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
  501  1229     1   0  6 925  ??         0:02.82 /System/Library/PrivateFrameworks/GenerativeExperiencesRuntime.framework/Versions/A/generativeexperiencesd
  501  1230     1   0  6 925  ??        12:26.51 /System/Library/PrivateFrameworks/MediaAnalysis.framework/Versions/A/mediaanalysisd
  501  1231     1   0  6 925  ??         2:11.54 /usr/libexec/triald
  501  1232     1   0  6 925  ??         0:06.12 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
  501  1233     1   0  6 925  ??         0:02.11 /usr/libexec/icloudmailagent
  501  1234     1   0  6 925  ??        13:10.87 /usr/libexec/sharingd
  501  1235     1   0  6 925  ??         1:52.25 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  501  1236     1   0  6 925  ??         0:27.03 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
  501  1237     1   0  6 925  ??         7:18.94 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  501  1238     1   0  6 925  ??         1:54.61 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  501  1239     1   0  6 925  ??         3:00.17 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  501  1240     1   0  6 925  ??         0:21.32 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  501  1241     1   0  6 925  ??         0:07.83 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
  501  1242     1   0  6 925  ??         0:20.93 /System/Library/CoreServices/sharedfilelistd
  501  1243     1   0  6 925  ??         0:00.48 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
  501  1244     1   0  6 925  ??         0:07.21 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  501  1245     1   0  6 925  ??         1:57.67 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
  501  1246     1   0  6 925  ??         0:13.48 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
  501  1247     1   0  6 925  ??         0:13.09 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
  501  1248     1   0  6 925  ??         0:04.87 /usr/libexec/appleaccountd
  501  1249     1   0  6 925  ??         4:48.29 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  501  1250     1   0  6 925  ??         0:40.79 /usr/libexec/swcd
  501  1253     1   0  6 925  ??         0:13.67 /System/Library/PrivateFrameworks/OnDeviceStorage.framework/Support/amsondevicestoraged
  501  1254     1   0  6 925  ??         0:13.48 /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd
  501  1256     1   0  6 925  ??         4:06.05 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  501  1258     1   0  6 925  ??         1:29.56 /usr/libexec/ContinuityCaptureAgent server
